皮肤名称	组件	状态	原始文件名/资源键	URL	说明
紫色界面	background	default	紫色__purpleBg.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/fc9fbc3b0b55dc4437b75e7a2da0705c.png	背景图
紫色界面	input_box	default	purpleDefault.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/776bee00986b7376945aff055595195f.png	填空框状态图
紫色界面	input_box	answering	purpleSelected.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/6dc3dd9d05cce9aa16d12e86e969a799.png	填空框状态图
紫色界面	input_box	correct	right.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/bbfec0d914b0dbfe76a7b1b152ee3388.png	填空框状态图
紫色界面	input_box	wrong	wrong.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/e2a67f9e6c73b7e1c381f3227fe3d7fc.png	填空框状态图
紫色界面	keyboard	number_button_normal	purpleNum1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/2ac6ac4d5f97522010cc4ecc368f61c9.png	数字键盘状态图
紫色界面	keyboard	delete_button_normal	purpleDelete1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/3ffee83b3bd6a7264518c3e2a5e9c82c.png	数字键盘状态图
紫色界面	keyboard	confirm_button_normal	purpleRight1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/d1ca24dd88c958757a1ca5e5326a9de9.png	数字键盘状态图
紫色界面	keyboard	number_button_pressed	purpleNum2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/34b27e6ea0066dd2cab8f743fc2c747f.png	数字键盘状态图
紫色界面	keyboard	delete_button_pressed	purpleDelete2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/697c5c3ecc541947af71a1518e616105.png	数字键盘状态图
紫色界面	keyboard	confirm_button_pressed	purpleRight2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/c0f0a0ca8ef4b8f127500cc4338356fa.png	数字键盘状态图
紫色界面	choice_button	a	a.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/7c040c641121266c3c82f3435ffb6793.png	选择题按钮原始变体，按模板状态选择
紫色界面	choice_button	a1	a1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/7fee2e4075d41cfc456c5e8ca8370f6a.png	选择题按钮原始变体，按模板状态选择
紫色界面	choice_button	aa	aa.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/438724a11e08e8e4a4832fe6ab13ea08.png	选择题按钮原始变体，按模板状态选择
紫色界面	choice_button	aa1	aa1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/538dbd231853f3f3bda965f915c7fe4e.png	选择题按钮原始变体，按模板状态选择
紫色界面	choice_button	wrong_1	wrong-1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/b7bf8aeacba7de40410621df45c47aa8.png	选择题正确/错误反馈标记
紫色界面	choice_button	wrong_2	wrong-2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/48d46d91f2610b21f0f0ca2b56c9566f.png	选择题正确/错误反馈标记
紫色界面	choice_button	correct_1	correct-1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/d6fc9acebab9d8b331c78911a1fe1067.png	选择题正确/错误反馈标记
紫色界面	choice_button	correct_2	correct-2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/184a2d28979fb0f2a4cbfaafbfbcc2cd.png	选择题正确/错误反馈标记
紫色界面	drag_item	note	选项.png	MDraggbale 拖拽物状态资源。当前三套皮肤 default/dragging/placed 共用同一张选项图。	拖拽物状态图
紫色界面	drag_item	default	选项.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/8b2fc9822b3e6792c91bba4c1b828626.png	拖拽物状态图
紫色界面	drag_item	dragging	选项.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/8b2fc9822b3e6792c91bba4c1b828626.png	拖拽物状态图
紫色界面	drag_item	placed	选项.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/8b2fc9822b3e6792c91bba4c1b828626.png	拖拽物状态图
紫色界面	drag_place	note	xuxian2.png	LDragPlace 放置框状态资源。xuxian1 用于默认/可吸附；xuxian2 用于已吸附/已放置。	拖拽放置框状态图
紫色界面	drag_place	default	xuxian1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/2aa01e7db9dea94e29aa0d299830b117.png	拖拽放置框状态图
紫色界面	drag_place	adsorb	xuxian1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/2aa01e7db9dea94e29aa0d299830b117.png	拖拽放置框状态图
紫色界面	drag_place	adsorbed	xuxian2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/6ac500c4a363583e91abfc2de4fa6437.png	拖拽放置框状态图
紫色界面	drag_place	placed	xuxian2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/6ac500c4a363583e91abfc2de4fa6437.png	拖拽放置框状态图
黄色界面	background	default	黄色__yellowBg.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/e91dcb1074e2690921f195bc88a07346.png	背景图
黄色界面	input_box	default	yellowDefault.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/52103843c58078ab5440e4671e218299.png	填空框状态图
黄色界面	input_box	answering	yellowSelected.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/674a213d6a38de357469b7c8917dc34a.png	填空框状态图
黄色界面	input_box	correct	right.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/c3641f61a1e36dc71d693bc544b41505.png	填空框状态图
黄色界面	input_box	wrong	wrong.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/7cc7ae37d75ffb43baa1817f66adafa8.png	填空框状态图
黄色界面	keyboard	number_button_normal	yellowNum1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/fd01db1ca052bbef7e8506c3f2000683.png	数字键盘状态图
黄色界面	keyboard	delete_button_normal	yellowDelete1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/1f6b558698b5775d1fd3e227997f9cd6.png	数字键盘状态图
黄色界面	keyboard	confirm_button_normal	yellowRight1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/dd82529a9d8bd622b2c8f1677b228a56.png	数字键盘状态图
黄色界面	keyboard	number_button_pressed	yellowNum2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/2ea4d19806d5d3a4eb71bb070b728b59.png	数字键盘状态图
黄色界面	keyboard	delete_button_pressed	yellowDelete2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/40d7183ea70a19e145ed423fb12bf9a0.png	数字键盘状态图
黄色界面	keyboard	confirm_button_pressed	yellowRight2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/5c6e68be58abb30d5a0b8a833f9a01fb.png	数字键盘状态图
黄色界面	choice_button	b	b.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/9a5071a983af8dac27dd3d9e60aecd21.png	选择题按钮原始变体，按模板状态选择
黄色界面	choice_button	b1	b1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/2eaf202765251134377e119b314959e4.png	选择题按钮原始变体，按模板状态选择
黄色界面	choice_button	b2	b2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/07498460a5aaa01913befa89435f71e1.png	选择题按钮原始变体，按模板状态选择
黄色界面	choice_button	b3	b3.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/d4d211bbb81cfe74b35ed2d73e9e1bd6.png	选择题按钮原始变体，按模板状态选择
黄色界面	choice_button	wrong_1	wrong-1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/ec140265c9bb4a2910185746265b74ff.png	选择题正确/错误反馈标记
黄色界面	choice_button	wrong_2	wrong-2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/1bde273fb93683b50d083b69bf8194ef.png	选择题正确/错误反馈标记
黄色界面	choice_button	correct_1	correct-1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/6f6bd133b14fd89bb2af6de64fb94d81.png	选择题正确/错误反馈标记
黄色界面	choice_button	correct_2	correct-2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/7ad10d1c403adae3997d1955f6ad9e97.png	选择题正确/错误反馈标记
黄色界面	drag_item	note	选项.png	MDraggbale 拖拽物状态资源。当前三套皮肤 default/dragging/placed 共用同一张选项图。	拖拽物状态图
黄色界面	drag_item	default	选项.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/dafc60f4ca960667071004011acbf26e.png	拖拽物状态图
黄色界面	drag_item	dragging	选项.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/dafc60f4ca960667071004011acbf26e.png	拖拽物状态图
黄色界面	drag_item	placed	选项.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/dafc60f4ca960667071004011acbf26e.png	拖拽物状态图
黄色界面	drag_place	note	xuxian2.png	LDragPlace 放置框状态资源。xuxian1 用于默认/可吸附；xuxian2 用于已吸附/已放置。	拖拽放置框状态图
黄色界面	drag_place	default	xuxian1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/95a90263bb3603ceff4973734e5e197c.png	拖拽放置框状态图
黄色界面	drag_place	adsorb	xuxian1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/95a90263bb3603ceff4973734e5e197c.png	拖拽放置框状态图
黄色界面	drag_place	adsorbed	xuxian2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/1f80da77c1cb9ee47188efb12edde7a3.png	拖拽放置框状态图
黄色界面	drag_place	placed	xuxian2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/1f80da77c1cb9ee47188efb12edde7a3.png	拖拽放置框状态图
蓝色界面	background	default	蓝色__blueBg.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/291cc642d06465540b7a25d3c3c1ff68.png	背景图
蓝色界面	input_box	default	buleDefault.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/405c3617f7e6ef27bec1783b1e24f00d.png	填空框状态图
蓝色界面	input_box	answering	blueSelected.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/38d281b2bc32f4ec45bd0e6fc2f01279.png	填空框状态图
蓝色界面	input_box	correct	right.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/c6c05e0551b4f1738a03a290fdf68066.png	填空框状态图
蓝色界面	input_box	wrong	wrong.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/7f4f64fff427cc0d73b7acf3339f2ae5.png	填空框状态图
蓝色界面	keyboard	number_button_normal	blueNum1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/e5512d503b36022cdf4f24b926b0a7b8.png	数字键盘状态图
蓝色界面	keyboard	delete_button_normal	blueDelete1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/cc743b5b6ab63a8ac22714a7f92f8418.png	数字键盘状态图
蓝色界面	keyboard	confirm_button_normal	blueRight1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/b65750d3655ed121cb690097fdd4c884.png	数字键盘状态图
蓝色界面	keyboard	number_button_pressed	blueNum2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/f711f615f583064fc85c74c8e895e297.png	数字键盘状态图
蓝色界面	keyboard	delete_button_pressed	blueDelete2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/8fcd2c1c0cfe50e0087ef47eb901722d.png	数字键盘状态图
蓝色界面	keyboard	confirm_button_pressed	blueRight2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/70c2b00cdaab71cbf1d6af596d9a3fae.png	数字键盘状态图
蓝色界面	choice_button	c	c.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/2832c12dc7f481b332cd905e8b15e8ae.png	选择题按钮原始变体，按模板状态选择
蓝色界面	choice_button	c1	c1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/88bb6cdb7b1bcbdf05da26f9713f6c90.png	选择题按钮原始变体，按模板状态选择
蓝色界面	choice_button	c2	c2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/5bdfded6a1fe96f773790b16ae497d55.png	选择题按钮原始变体，按模板状态选择
蓝色界面	choice_button	c3	c3.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/bdb7bcf376fbc7f3a7f93604261560cd.png	选择题按钮原始变体，按模板状态选择
蓝色界面	choice_button	wrong_1	wrong-1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/17432b2cfc8725d8036912131f929abd.png	选择题正确/错误反馈标记
蓝色界面	choice_button	wrong_2	wrong-2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/60bdec0f45018de84016133d798a1a63.png	选择题正确/错误反馈标记
蓝色界面	choice_button	correct_1	correct-1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/a4536b3b51e4db09e1720a26c02b35cf.png	选择题正确/错误反馈标记
蓝色界面	choice_button	correct_2	correct-2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/fe2f8022e268b22de49786df28e907b3.png	选择题正确/错误反馈标记
蓝色界面	drag_item	note	选项.png	MDraggbale 拖拽物状态资源。当前三套皮肤 default/dragging/placed 共用同一张选项图。	拖拽物状态图
蓝色界面	drag_item	default	选项.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/fd11124c012e3f2548e72091d42c2d9c.png	拖拽物状态图
蓝色界面	drag_item	dragging	选项.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/fd11124c012e3f2548e72091d42c2d9c.png	拖拽物状态图
蓝色界面	drag_item	placed	选项.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/fd11124c012e3f2548e72091d42c2d9c.png	拖拽物状态图
蓝色界面	drag_place	note	xuxian2.png	LDragPlace 放置框状态资源。xuxian1 用于默认/可吸附；xuxian2 用于已吸附/已放置。	拖拽放置框状态图
蓝色界面	drag_place	default	xuxian1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/8eb0689d5bdd85e4a2acfa14bfe79526.png	拖拽放置框状态图
蓝色界面	drag_place	adsorb	xuxian1.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/8eb0689d5bdd85e4a2acfa14bfe79526.png	拖拽放置框状态图
蓝色界面	drag_place	adsorbed	xuxian2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/ff655b52512bbbe5c1edd1e93a726d2c.png	拖拽放置框状态图
蓝色界面	drag_place	placed	xuxian2.png	https://courseware-maker-1252161091.cos.ap-beijing.myqcloud.com/assets/image/345733/2026-04-22/ff655b52512bbbe5c1edd1e93a726d2c.png	拖拽放置框状态图
